CLASSV93P0029S1759	8	0	10	0	AAAAAA00A0000A0000	1	CCCLCLA9597591759	0
concentratedbyrotaryevaporation	0	31	0	0	aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa	1	cccoconnoniontion	0
magnetic	0	8	0	0	aaaaaaaa	1	mmmamagcicticetic	0
residualorganicsolventis	0	24	0	0	aaaaaaaaaaaaaaaaaaaaaaaa	1	rrreressistisntis	0
90°C(Note3	2	3	3	1	00AAaaa0	1	999090°3e3te3ote3	0
CLASSV93P0029S1873880	8	0	13	0	AAAAAA00A0000A0000000	1	CCCLCLA0808803880	0
(2).	0	0	1	1	0	1	(((2(2).).2).(2).	0
%purity(Notes	1	10	0	1	aaaaaaAaaaa	1	%%%p%pusestesotes	0
.Figure1.Reaction	2	12	1	1	Aaaaaa0Aaaaaaaa	1	...F.Finoniontion	0
4)isadded	0	7	1	1	0aaaaaaa	1	444)4)ideddeddded	0
isrinsedwithethylacetate	0	24	0	0	aaaaaaaaaaaaaaaaaaaaaaaa	1	iiisisreteatetate	0
%w/w)(Note	1	5	0	1	aaAaaa	1	%%%w%w/eteoteNote	0
undervigorousstirring.	0	21	0	1	aaaaaaaaaaaaaaaaaaaaa	1	uuunund.g.ng.ing.	0
evaporation(32°C,	1	11	2	1	aaaaaaaaaaa00A	1	eeeveva,C,°C,2°C,	0
.Figure1.	1	5	1	1	Aaaaaa0	1	...F.Fi.1.e1.re1.	0
magneticstirbarisadded	0	22	0	0	aaaaaaaaaaaaaaaaaaaaaa	1	mmmamagdeddeddded	0
214mmol	0	4	3	0	000aaaa	1	2221214lolmolmmol	0
isconcentratedbyrotary	0	22	0	0	aaaaaaaaaaaaaaaaaaaaaa	1	iiisiscyryarytary	0
concentratedbyrotary	0	20	0	0	aaaaaaaaaaaaaaaaaaaa	1	cccoconyryarytary	0
temperature.The	1	13	0	1	aaaaaaaaaaaAaa	1	tttetemeheThe.The	0
organicsolvent	0	14	0	0	aaaaaaaaaaaaaa	1	ooororgtntentvent	0
furfuralCLASSV93P0029S127	8	8	9	0	aaaaaaaaAAAAAA00A0000A000	1	fffufur727127S127	0
Immediate	1	8	0	0	Aaaaaaaaa	1	IIImImmeteateiate	0
Theprecipitateisvacuum-filteredthrough	1	36	0	1	Aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa	1	TTThThehghughough	0
,andthemixture	0	13	0	1	aaaaaaaaaaaaa	1	,,,a,anereureture	0
under	0	5	0	0	aaaaa	1	uuunundrerdernder	0
